in Government Dated Securities and Treasury Bills
 01005   9.81 %  2013              10.00          102.27           9.4822
 01005   9.81 %  2013              10.00          102.28           9.4808
 01005   9.81 %  2013              10.00          102.33           9.4738
 01005   9.81 %  2013               5.00          102.35           9.4710
 01005   9.81 %  2013               5.00          102.32           9.4752
 01005   9.81 %  2013               5.00          102.34           9.4724
 01005   9.81 %  2013               5.00          102.36           9.4696
 01005   9.81 %  2013               5.00          102.28           9.4808
 01005   9.81 %  2013               0.25          102.35           9.4710
 01005   9.81 %  2013               5.00          102.34           9.4724
 01005   9.81 %  2013              10.00          102.30           9.4780
 01005   9.81 %  2013               5.00          102.29           9.4794
 01005   9.81 %  2013               0.50          102.35           9.4710
 01005   9.81 %  2013               0.50          102.35           9.4710
 01005   9.81 %  2013               5.00          102.29           9.4794
 01005   9.81 %  2013               5.00          102.29           9.4794
 01005   9.81 %  2013               5.00          102.31           9.4766
 01005   9.81 %  2013               4.98          102.35           9.4710
 00012  11.03 %  2012              10.00          110.69           9.4387
 00012  11.03 %  2012               5.00          110.72           9.4345
 00012  11.03 %  2012               5.00          110.67           9.4415
 00012  11.03 %  2012               5.00          110.69           9.4387
 00012  11.03 %  2012               5.00          110.74           9.4318
 00012  11.03 %  2012              20.00          110.735          9.4325
 00012  11.03 %  2012               5.00          110.685          9.4394
 00012  11.03 %  2012               5.00          110.70           9.4373
 00012  11.03 %  2012               5.00          110.685          9.4394
 00012  11.03 %  2012               5.00          110.71           9.4359
 00012  11.03 %  2012               5.00          110.71           9.4359
 00012  11.03 %  2012               5.00          110.70           9.4373
 00012  11.03 %  2012               5.00          110.70           9.4373
 00012  11.03 %  2012               5.00          110.74           9.4318
 00012  11.03 %  2012               5.00          110.69           9.4387
 00012  11.03 %  2012               5.00          110.685          9.4394
 00012  11.03 %  2012               5.00          110.74           9.4318
 00012  11.03 %  2012               5.00          110.76           9.4290
 00012  11.03 %  2012               5.00          110.69           9.43879
        26/07/2002                 15.00           93.6026         7.1902
        26/07/2002                 20.00           93.6026         7.1902
        28/06/2002                 10.00           94.0897         7.1902
        07/03/2002                 10.00           96.1601         7.0904
        20/09/2001                  3.00           99.3054         6.8812
        06/09/2001                  1.00           99.5608         6.9815
        23/08/2001                 59.00           99.8314         6.8304
          Contract Date : August 14, 2001
        09/08/2002                 10.00           93.3609         7.1703
        09/08/2002                 20.00           93.3695         7.1604
        12/07/2002                 10.00           93.8535         7.1587
