 
23 Jan 2001 
 
Subsidiary General Ledger Account Transactions in  
Government Dated Securities and Treasury Bills 
at RBI, Mumbai on 22 January 2001 
 
--------------------------------------------------------------------------- 
   Nomenclature                  Amount           Price *        YTM % 
                                 (Face Value)     Per Rs.100   Indicative 
                                 (in Rs.Crore)    nominal 
--------------------------------------------------------------------------- 
I.  Outright Transactions 
A.Government of India Dated Securities 
 11.75 %  2001                      5.00          101.12           9.7192 
 11.75 %  2001                      5.00          101.12           9.7192 
 11.75 %  2001                     10.00          101.12           9.7192 
 11.75 %  2001                      5.00          101.12           9.7192 
 11.00 %  2002                     20.00          101.62           9.6216 
 11.68 %  2002                      5.00          102.78           9.6851 
 11.68 %  2002                      5.00          102.82           9.6571 
 11.15 %  2002                      5.00          102.14           9.6661 
 11.15 %  2002                     10.00          102.12           9.6796  11.15 %  2002                     25.00          102.19           9.6323 
 11.15 %  2002                     25.00          102.20           9.6256 
 11.15 %  2002                      5.00          102.20           9.6256 
 11.15 %  2002                      5.00          102.22           9.6121 
 11.15 %  2002                      5.00          102.19           9.6323 
 11.15 %  2002                      5.00          102.20           9.6256 
 11.15 %  2002                      5.00          102.09           9.6999 
 11.15 %  2002                      5.00          102.19           9.6323 
 11.15 %  2002                     10.00          102.20           9.6256 
 11.15 %  2002                     10.00          102.20           9.6256 
 11.15 %  2002                     20.00          102.12           9.6796 
 11.55 %  2002                     15.00          103.15           9.5973 
 11.55 %  2002                     20.00          103.05           9.6573 
 11.10 %  2003                      5.00          102.71           9.6910 
 11.10 %  2003                      5.00          102.73           9.6810 
 11.10 %  2003                      5.00          102.73           9.6810 
 11.10 %  2003                      5.00          102.66           9.7162 
 11.10 %  2003                      5.00          102.71           9.6910 
 11.10 %  2003                      5.00          102.70           9.6961 
 12.50 %  2004                      0.0225        107.20           9.7904 
 12.50 %  2004                      3.00          107.35           9.7367 
 12.50 %  2004                     25.00          107.30           9.7546 
 12.50 %  2004                      5.00          107.25           9.7725 
 12.50 %  2004                      5.00          107.27           9.7653 
 12.50 %  2004                     25.00          107.30           9.7546 
 12.50 %  2004                     10.00          107.30           9.7546 
 12.50 %  2004                      5.00          107.30           9.7546 
 12.50 %  2004                     25.00          107.305          9.7528 
 12.50 %  2004                      5.00          107.31           9.7510 
 12.50 %  2004                      5.00          107.31           9.7510 
 12.50 %  2004                      5.00          107.25           9.7725 
 12.50 %  2004                      5.00          107.24           9.7761 
 12.50 %  2004                      5.00          107.22           9.7832 
 12.50 %  2004                      5.00          107.20           9.7904 
 12.50 %  2004                     10.00          107.30           9.7546 
 12.50 %  2004                      5.00          107.305          9.7528 
 12.50 %  2004                      5.00          107.28           9.7617 
 12.50 %  2004                      5.00          107.31           9.7510 
 12.50 %  2004                      5.00          107.28           9.7617 
 12.50 %  2004                      5.00          107.29           9.7582 
 12.59 %  2004                      5.00          107.665          9.8768 
 12.59 %  2004                      5.00          107.65           9.8818 
 12.59 %  2004                     10.00          107.69           9.8684 
 12.59 %  2004                      5.00          107.65           9.8818 
 11.98 %  2004                      5.00          106.33           9.8533 
 11.98 %  2004                      5.00          106.38           9.8373 
 11.98 %  2004                     10.00          106.38           9.8373 
 11.98 %  2004                      5.00          106.35           9.8469 
 11.98 %  2004                     10.00          106.38           9.8373 
  9.90 %  2005                      5.00           99.85           9.9353 
 10.20 %  2005                     30.00          101.18           9.8655 
 10.20 %  2005                      5.00          101.07           9.8963 
 10.20 %  2005                     10.00          101.00           9.9159 
 10.20 %  2005                     10.00          100.96           9.9272 
 10.20 %  2005                      5.00          100.93           9.9356 
 10.20 %  2005                      5.00          101.03           9.9075  10.20 %  2005                      5.00          101.05           9.9019 
 11.68 %  2006                     10.00          106.45          10.0522 
 11.68 %  2006                      5.00          106.49          10.0426 
 11.68 %  2006                      5.00          106.45          10.0522 
 11.68 %  2006                      5.00          106.54          10.0305 
 11.68 %  2006                      5.00          106.50          10.0402 
 11.68 %  2006                      5.00          106.54          10.0305 
 11.68 %  2006                     10.00          106.50          10.0402 
 11.68 %  2006                      5.00          106.55          10.0281 
 11.68 %  2006                     10.00          106.52          10.0354 
 11.68 %  2006                     10.00          106.51          10.0378 
 11.00 %  2006                      5.00          104.09          10.0160 
 11.00 %  2006                      5.00          104.04          10.0277 
 11.00 %  2006                      5.00          104.04          10.0277 
 11.90 %  2007                      5.00          108.00          10.1533 
 11.90 %  2007                      5.00          108.05          10.1430 
 11.90 %  2007                      5.00          108.05          10.1430 
 11.90 %  2007                      5.00          108.00          10.1533 
 11.90 %  2007                      5.00          108.00          10.1533 
 11.90 %  2007                     10.00          108.00          10.1533 
 11.50 %  2007                      5.00          105.84          10.2662 
 12.00 %  2008                      5.00          108.48          10.3078 
 11.50 %  2008                     10.00          105.87          10.3328 
 11.50 %  2008                      5.00          105.90          10.3271 
 11.50 %  2008                     10.00          105.90          10.3271 
 11.50 %  2008                      5.00          105.92          10.3233 
 11.50 %  2008                      5.00          105.91          10.3252 
 12.10 %  2008                      5.00          108.90          10.3462 
 11.40 %  2008                      1.00          105.95          10.2502 
 11.40 %  2008                      5.00          105.99          10.2428 
 11.40 %  2008                     25.00          106.00          10.2409 
 11.40 %  2008                      5.00          106.00          10.2409 
 11.40 %  2008                      5.00          105.97          10.2465 
 11.40 %  2008                     15.00          106.00          10.2409 
 11.40 %  2008                      5.00          105.95          10.2502 
 11.40 %  2008                      5.00          105.99          10.2428 
 11.40 %  2008                      5.00          105.95          10.2502 
 11.40 %  2008                      5.00          106.00          10.2409 
 11.40 %  2008                      5.00          105.97          10.2465 
 11.40 %  2008                      5.00          106.00          10.2409 
 11.40 %  2008                      5.00          106.02          10.2372 
 11.40 %  2008                     10.00          106.02          10.2372 
 11.40 %  2008                      5.00          106.00          10.2409 
 11.40 %  2008                      5.00          106.00          10.2409 
 11.40 %  2008                     10.00          105.99          10.2428 
 11.40 %  2008                      5.00          106.00          10.2409 
 11.40 %  2008                      5.00          105.99          10.2428 
 11.40 %  2008                      5.00          105.58          10.3188 
 11.40 %  2008                      5.00          106.01          10.2391 
 11.40 %  2008                      5.00          106.00          10.2409 
 11.40 %  2008                      5.00          105.95          10.2502 
 11.40 %  2008                      5.00          106.01          10.2391 
 11.40 %  2008                      5.00          106.00          10.2409 
 11.99 %  2009                     15.00          108.90          10.3478 
 11.99 %  2009                      5.00          108.88          10.3513 
 11.99 %  2009                      5.00          108.88          10.3513  11.99 %  2009                      5.00          108.84          10.3582 
 11.99 %  2009                      5.00          108.83          10.3600 
 11.99 %  2009                     25.00          108.87          10.3530 
 11.99 %  2009                     10.00          108.85          10.3565 
 11.50 %  2009                      5.00          105.85          10.4246 
 11.50 %  2009                      5.00          105.85          10.4246 
 12.29 %  2010                      5.00          110.00          10.5438 
 11.50 %  2010                      5.00          105.69          10.5267 
 11.50 %  2010                      5.00          105.63          10.5366 
 11.50 %  2010                      5.00          105.66          10.5317 
 11.50 %  2010                      5.00          105.70          10.5251 
 11.50 %  2010                     10.00          105.70          10.5251 
 12.25 %  2010                      5.00          109.89          10.5669 
 12.25 %  2010                      0.909         110.10          10.5335 
 12.25 %  2010                      5.00          109.95          10.5573 
 12.25 %  2010                     10.00          110.00          10.5494 
 12.25 %  2010                      5.00          109.85          10.5732 
 12.25 %  2010                      5.00          109.93          10.5605 
 12.25 %  2010                      5.00          109.94          10.5589 
 12.25 %  2010                      5.00          109.88          10.5684 
 12.25 %  2010                     10.00          109.93          10.5605 
 12.25 %  2010                     10.00          109.95          10.5573 
 12.25 %  2010                      5.00          109.90          10.5653 
 12.25 %  2010                      5.00          109.90          10.5653 
 12.25 %  2010                      5.00          109.96          10.5557 
 12.25 %  2010                      5.00          109.94          10.5589 
 12.25 %  2010                      5.00          109.95          10.5573 
 11.30 %  2010                      5.00          105.01          10.4555 
 11.30 %  2010                      5.00          105.03          10.4523 
 11.30 %  2010                      5.00          105.03          10.4523 
 11.30 %  2010                      5.00          105.00          10.4572 
 11.30 %  2010                      5.00          105.00          10.4572 
 11.30 %  2010                      5.00          105.00          10.4572 
 11.30 %  2010                      5.00          105.00          10.4572 
 11.30 %  2010                      5.00          105.00          10.4572 
 11.30 %  2010                     10.00          104.99          10.4588 
 11.30 %  2010                      5.00          105.03          10.4523 
 11.30 %  2010                      5.00          105.00          10.4572 
 11.30 %  2010                      5.00          105.01          10.4555 
 11.30 %  2010                      5.00          105.01          10.4555 
 11.30 %  2010                      5.00          104.99          10.4588 
 11.30 %  2010                     10.00          105.00          10.4572 
 11.30 %  2010                      5.00          104.99          10.4588 
 11.30 %  2010                     10.00          104.98          10.4604 
 11.30 %  2010                      5.00          104.98          10.4604 
 11.30 %  2010                      5.00          105.02          10.4539 
 11.30 %  2010                      5.00          105.03          10.4523 
 11.30 %  2010                      5.00          104.95          10.4653 
 11.30 %  2010                      5.00          104.95          10.4653 
 11.30 %  2010                      5.00          104.99          10.4588 
 11.30 %  2010                     10.00          104.95          10.4653 
 11.30 %  2010                      5.00          104.94          10.4669 
 11.30 %  2010                      5.00          105.02          10.4539 
 11.30 %  2010                      5.00          105.00          10.4572 
 12.32 %  2011                     10.00          110.42          10.6055 
 12.32 %  2011                      5.00          110.41          10.6070  12.32 %  2011                     10.00          110.41          10.6070 
 12.32 %  2011                      5.00          110.40          10.6085 
 11.50 %  2011                     15.00          105.80          10.5725 
 11.50 %  2011                     20.00          105.80          10.5725 
 11.50 %  2011                     15.00          105.77          10.5771 
 11.50 %  2011                     10.00          105.80          10.5725 
 11.50 %  2011                      5.00          105.98          10.5557 
 11.50 %  2011                      5.00          105.98          10.5557 
 11.50 %  2011                      5.00          105.98          10.5557 
 11.50 %  2011                      5.00          105.91          10.5663 
 11.50 %  2011                      5.00          106.00          10.5527 
 11.50 %  2011                     10.00          106.02          10.5497 
 11.50 %  2011                      5.00          106.01          10.5512 
 11.50 %  2011                      5.00          106.00          10.5527 
 11.50 %  2011                     20.00          105.97          10.5572 
 11.50 %  2011                      5.00          105.94          10.5617 
 11.50 %  2011                     10.00            1.00          50.0000 
 11.50 %  2011                     10.00          105.94          10.5617 
 11.50 %  2011                     15.00          105.97          10.5572 
 11.50 %  2011                     15.00          106.00          10.5527 
 11.03 %  2012                      5.00          102.90          10.5873 
 11.03 %  2012                     20.00          103.00          10.5724 
 11.03 %  2012                      1.50          102.86          10.5933 
 11.03 %  2012                      1.00          103.00          10.5724 
 11.03 %  2012                      5.00          102.95          10.5799 
 11.03 %  2012                     10.00          102.94          10.5814 
 11.03 %  2012                      1.00          102.25          10.6849 
 11.03 %  2012                      5.00          102.93          10.5829 
 11.03 %  2012                      5.00          102.93          10.5829 
 11.03 %  2012                      5.00          102.92          10.5843 
 11.03 %  2012                      5.00          102.90          10.5873 
 11.03 %  2012                      5.00          102.85          10.5948 
 11.03 %  2012                     10.00          102.86          10.5933 
 11.03 %  2012                      5.00          102.78          10.6053 
 11.03 %  2012                      5.00          102.86          10.5933 
 11.03 %  2012                      5.00          102.88          10.5903 
 11.03 %  2012                      5.00          102.89          10.5888 
 11.03 %  2012                     10.00          102.87          10.5918 
 11.03 %  2012                      5.00          102.895         10.5881 
 11.03 %  2012                      5.00          102.90          10.5873 
 11.03 %  2012                     10.00          102.90          10.5873 
 11.03 %  2012                     10.00          102.90          10.5873 
 11.03 %  2012                      5.00          102.90          10.5873 
 11.03 %  2012                      5.00          102.90          10.5873 
 11.03 %  2012                      5.00          102.90          10.5873 
 11.03 %  2012                      5.00          102.80          10.6023 
 11.03 %  2012                     20.00          102.80          10.6023 
 11.03 %  2012                     20.00          102.80          10.6023 
 11.03 %  2012                      5.00          102.86          10.5933 
 11.03 %  2012                      5.00          102.90          10.5873 
 11.03 %  2012                      5.00          102.95          10.5799 
 11.03 %  2012                     10.00          102.90          10.5873 
 11.03 %  2012                      5.00          102.80          10.6023 
 11.03 %  2012                      4.04          102.32          10.6743 
 11.03 %  2012                      5.00          102.88          10.5903 
 11.03 %  2012                      5.00          102.92          10.5843  11.03 %  2012                      5.00          102.88          10.5903 
 11.03 %  2012                      5.00          102.93          10.5829 
 11.03 %  2012                      5.00          102.93          10.5829 
 11.03 %  2012                      5.00          102.92          10.5843 
 11.03 %  2012                      5.00          102.93          10.5829 
 11.03 %  2012                      5.00          102.92          10.5843 
 11.03 %  2012                      5.00          102.925         10.5836 
 11.03 %  2012                      5.00          102.88          10.5903 
 11.03 %  2012                      5.00          102.88          10.5903 
 12.40 %  2013                      5.00          111.10          10.7656 
 12.40 %  2013                      5.00          111.10          10.7656 
 12.40 %  2013                      5.00          111.10          10.7656 
 12.40 %  2013                      5.00          111.10          10.7656 
 12.40 %  2013                      5.00          110.10          10.9025 
 12.40 %  2013                     10.00          111.05          10.7724 
 12.40 %  2013                      5.00          111.05          10.7724 
 11.83 %  2014                     10.00          107.50          10.7690 
 11.83 %  2014                      5.00          107.50          10.7690 
 11.83 %  2014                      5.00          107.52          10.7663 
 11.83 %  2014                      5.00          107.65          10.7490 
 11.83 %  2014                     10.00          107.50          10.7690 
 11.50 %  2015                      2.00          104.50          10.8687 
 11.43 %  2015                      5.00          104.52          10.8051 
 11.43 %  2015                      5.00          104.55          10.8011 
 11.43 %  2015                      5.00          104.55          10.8011 
 11.43 %  2015                     10.00          104.57          10.7984 
 11.43 %  2015                      5.00          104.56          10.7997 
 11.43 %  2015                     10.00          104.50          10.8077 
 11.43 %  2015                     10.00          104.57          10.7984 
 11.43 %  2015                      5.00          104.55          10.8011 
 11.43 %  2015                      5.00          104.50          10.8077 
 11.43 %  2015                      5.00          104.50          10.8077 
 11.43 %  2015                      5.00          105.55          10.6687 
 11.43 %  2015                      5.00          104.49          10.8091 
 11.43 %  2015                      5.00          104.55          10.8011 
 11.43 %  2015                      5.00          104.50          10.8077 
 11.43 %  2015                      5.00          104.50          10.8077 
 11.43 %  2015                      5.00          104.48          10.8104 
 11.43 %  2015                     10.00          104.50          10.8077 
 11.43 %  2015                      5.00          104.50          10.8077 
 11.43 %  2015                     10.00          104.55          10.8011 
 11.43 %  2015                      5.00          104.55          10.8011 
