---------------------------------------------------------------------------
Nomenclature                  Amount           Price *        YTM %
                                 (Face Value)     Per Rs.100   Indicative
                                 ( Rs.Crore)    nominal
---------------------------------------------------------------------------
I.  Outright Transactions
A.Government of India Dated Securities
 11.90 %  2007                      5.00          107.24          10.3133
 11.90 %  2007                      5.00          107.25          10.3112
 11.90 %  2007                      5.00          107.25          10.3112
 11.90 %  2007                      5.00          107.25          10.3112
 11.90 %  2007                      5.00          107.25          10.3112
 11.90 %  2007                      5.00          107.25          10.3112
 11.90 %  2007                      5.00          107.23          10.3154
 11.90 %  2007                      5.00          107.23          10.3154
  9.50 %  2008                      0.12           95.25          10.4620
 12.00 %  2008                      5.00          107.55          10.4853
 12.00 %  2008                      5.00          107.58          10.4796
 12.00 %  2008                      5.00          107.59          10.4777
 12.00 %  2008                      5.00          107.47          10.5005
 12.00 %  2008                      5.00          107.55          10.4853
 12.00 %  2008                      5.00          107.43          10.5081
 11.50 %  2008                      1.00          104.40          10.6162
 11.50 %  2008                      5.00          105.20          10.4621
 12.22 %  2008                      0.27          108.60          10.5343
 11.40 %  2008                      5.00          105.23          10.3847
 11.40 %  2008                      5.00          105.095         10.4099
 11.40 %  2008                      5.00          105.20          10.3903
 11.40 %  2008                      5.00          105.24          10.3828
 11.40 %  2008                      5.00          105.18          10.3940
 11.40 %  2008                      5.00          105.29          10.3735
 11.40 %  2008                      5.00          105.28          10.3754
 11.40 %  2008                      5.00          105.17          10.3959
 11.40 %  2008                      5.00          105.19          10.3922
 11.40 %  2008                      5.00          105.29          10.3735 11.40 %  2008                      5.00          105.22          10.3866
 11.40 %  2008                      5.00          105.20          10.3903
 11.40 %  2008                      5.00          105.19          10.3922
 11.40 %  2008                      5.00          105.19          10.3922
 11.40 %  2008                      5.00          105.195         10.3912
 11.40 %  2008                      5.00          105.22          10.3866
 11.40 %  2008                      5.00          105.21          10.3884
 11.40 %  2008                      5.00          105.23          10.3847
 11.40 %  2008                      5.00          105.24          10.3828
 11.40 %  2008                      5.00          105.23          10.3847
 11.40 %  2008                      5.00          105.22          10.3866
 11.40 %  2008                      5.00          105.20          10.3903
 11.40 %  2008                      5.00          105.18          10.3940
 11.40 %  2008                      5.00          105.18          10.3940
 11.40 %  2008                      5.00          105.05          10.4183
 11.40 %  2008                      5.00          105.19          10.3922
 11.40 %  2008                     20.00          105.21          10.3884
 11.40 %  2008                      5.00          105.22          10.3866
 11.40 %  2008                      5.00          105.20          10.3903
 11.40 %  2008                      5.00          105.18          10.3940
 11.40 %  2008                      5.00          105.22          10.3866
 11.40 %  2008                      5.00          105.22          10.3866
 11.40 %  2008                      5.00          105.22          10.3866
 11.40 %  2008                      5.00          105.21          10.3884
 11.40 %  2008                      5.00          105.21          10.3884
 11.40 %  2008                     20.00          105.24          10.3828
 11.40 %  2008                      5.00          105.21          10.3884
 11.99 %  2009                     10.00          108.14          10.4814
 11.99 %  2009                      5.00          108.01          10.5041
 11.99 %  2009                      5.00          107.94          10.5164
 11.99 %  2009                      5.00          107.91          10.5216
 11.99 %  2009                      5.00          108.04          10.4989
 11.99 %  2009                      5.00          108.05          10.4971
 11.99 %  2009                      5.00          107.93          10.5181
 11.99 %  2009                      5.00          108.02          10.5024
 11.99 %  2009                      5.00          108.06          10.4954
 11.99 %  2009                      5.00          108.04          10.4989
 11.99 %  2009                      5.00          108.03          10.5006
 11.99 %  2009                      5.00          108.02          10.5024
 11.99 %  2009                      5.00          108.015         10.5032
 11.99 %  2009                      5.00          108.02          10.5024
 11.99 %  2009                      5.00          108.00          10.5059
 11.50 %  2009                      5.00          105.02          10.5722
 11.50 %  2009                      5.00          105.02          10.5722
 11.50 %  2009                      5.00          105.02          10.5722
 11.50 %  2009                      5.00          105.03          10.5704
 11.50 %  2009                      5.00          105.08          10.5615
 11.50 %  2009                      5.00          105.02          10.5722
 12.29 %  2010                     10.00          109.33          10.6544
 11.50 %  2010                      1.00          100.00          11.4954
 11.50 %  2010                      5.00          104.95          10.6495
 12.25 %  2010                      5.00          109.50          10.6306
 12.25 %  2010                     10.00          109.40          10.6466
 12.25 %  2010                     10.00          109.41          10.6450
 12.25 %  2010                      5.00          109.40          10.6466
 12.25 %  2010                      5.00          109.43          10.6418
 12.25 %  2010                      5.00          109.45          10.6386 12.25 %  2010                     10.00          109.41          10.6450
 12.25 %  2010                      5.00          109.50          10.6306
 12.25 %  2010                      5.00          109.42          10.6434
 11.30 %  2010                      1.50          104.30          10.5717
 11.30 %  2010                      5.00          104.24          10.5815
 11.30 %  2010                      5.00          104.23          10.5832
 11.30 %  2010                      5.00          104.25          10.5799
 11.30 %  2010                      5.00          104.25          10.5799
 11.30 %  2010                      5.00          104.20          10.5881
 11.30 %  2010                      5.00          104.17          10.5930
 11.30 %  2010                     10.00          104.22          10.5848
 11.30 %  2010                      5.00          104.21          10.5865
 11.30 %  2010                      5.00          104.29          10.5733
 11.30 %  2010                      5.00          104.20          10.5881
 11.30 %  2010                      5.00          104.20          10.5881
 11.30 %  2010                      5.00          104.20          10.5881
 11.30 %  2010                      5.00          104.20          10.5881
 11.30 %  2010                      5.00          104.22          10.5848
 11.30 %  2010                     10.00          104.165         10.5939
 11.30 %  2010                     10.00          104.25          10.5799
 11.30 %  2010                      5.00          104.25          10.5799
 11.30 %  2010                      5.00          104.22          10.5848
 11.30 %  2010                      5.00          104.14          10.5980
 11.30 %  2010                      5.00          104.18          10.5914
 11.30 %  2010                      5.00          104.22          10.5848
 11.30 %  2010                      5.00          104.24          10.5815
 11.30 %  2010                      5.00          104.175         10.5922
 11.30 %  2010                      5.00          104.22          10.5848
 11.30 %  2010                      5.00          104.20          10.5881
 11.30 %  2010                      5.00          104.27          10.5766
 11.30 %  2010                      5.00          104.19          10.5898
 11.30 %  2010                      5.00          104.22          10.5848
 11.30 %  2010                      5.00          104.24          10.5815
 11.30 %  2010                      5.00          104.24          10.5815
 11.30 %  2010                      5.00          104.29          10.5733
 11.30 %  2010                      5.00          104.17          10.5930
 11.30 %  2010                      5.00          104.23          10.5832
 11.30 %  2010                      5.00          104.21          10.5865
 11.30 %  2010                      5.00          104.30          10.5717
 11.30 %  2010                      5.00          104.25          10.5799
 11.30 %  2010                      5.00          104.22          10.5848
 11.30 %  2010                      5.00          104.22          10.5848
 11.30 %  2010                      5.00          104.20          10.5881
 11.30 %  2010                      5.00          104.22          10.5848
 11.30 %  2010                      5.00          104.25          10.5799
 11.30 %  2010                      5.00          104.18          10.5914
 11.30 %  2010                      5.00          104.19          10.5898
 11.30 %  2010                      5.00          104.18          10.5914
 11.30 %  2010                      5.00          104.25          10.5799
 12.32 %  2011                      5.00          109.69          10.7184
 12.32 %  2011                      5.00          109.68          10.7200
 12.32 %  2011                     10.00          109.48          10.7510
 12.32 %  2011                      5.00          109.67          10.7215
 12.32 %  2011                      5.00          109.67          10.7215
 11.50 %  2011                      5.00          105.01          10.7034
 11.50 %  2011                      5.00          104.91          10.7187
 11.50 %  2011                      5.00          105.00          10.7049 11.50 %  2011                      5.00          105.03          10.7004
 11.50 %  2011                      5.00          104.95          10.7126
 11.50 %  2011                      5.00          104.95          10.7126
 11.50 %  2011                     10.00          105.20          10.6745
 11.50 %  2011                      5.00          105.12          10.6866
 11.50 %  2011                      5.00          105.01          10.7034
 11.50 %  2011                      5.00          105.10          10.6897
 11.50 %  2011                      5.00          105.12          10.6866
 11.50 %  2011                      5.00          105.11          10.6882
 11.50 %  2011                     10.00          105.01          10.7034
